               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,             0.11241,             0.40896,                   0,            0.073333,            0.027295,            0.037667,            0.010217,             0.10657,             0.97989,                   0,             0.02518,           0.0081797,           0.0081797
                  42,              0.1113,             0.44063,                   0,            0.073333,            0.027295,            0.037667,            0.010217,             0.10657,             0.97989,                   0,            0.023374,           0.0083738,           0.0083738
                  43,             0.11164,             0.36168,                   0,                 0.1,            0.037221,            0.051872,            0.012152,             0.10632,             0.98359,                   0,            0.021568,           0.0085677,           0.0085677
                  44,             0.11175,             0.45304,                   0,                 0.1,            0.037221,            0.051872,            0.012152,             0.10632,             0.98359,                   0,            0.019762,           0.0087615,           0.0087615
                  45,             0.10651,             0.51178,                   0,             0.11667,            0.086849,            0.076246,            0.019548,             0.10565,             0.98086,                   0,            0.017955,           0.0089552,           0.0089552
                  46,             0.10914,             0.44374,                   0,             0.11667,            0.086849,            0.076246,            0.019548,             0.10565,             0.98086,                   0,            0.016149,           0.0091487,           0.0091487
                  47,             0.11173,             0.55198,                   0,               0.155,             0.11538,             0.10812,            0.029499,             0.10522,             0.97491,                   0,            0.014342,           0.0093421,           0.0093421
                  48,             0.10781,             0.48885,                   0,               0.155,             0.11538,             0.10812,            0.029499,             0.10522,             0.97491,                   0,            0.012535,           0.0095354,           0.0095354
                  49,             0.10918,             0.40107,                   0,               0.195,             0.14516,             0.15471,            0.041086,             0.10403,              0.9539,                   0,            0.010728,           0.0097285,           0.0097285
                  50,             0.10981,             0.42828,                   0,               0.195,             0.14516,             0.15471,            0.041086,             0.10403,              0.9539,                   0,           0.0098232,           0.0098232,           0.0098232
                  51,             0.10829,             0.46193,                   0,             0.25907,             0.16253,             0.18158,            0.053482,             0.10237,             0.90909,                   0,           0.0098232,           0.0098232,           0.0098232
                  52,             0.10803,               0.443,                   0,             0.25907,             0.16253,             0.18158,            0.053482,             0.10237,             0.90909,                   0,           0.0098197,           0.0098197,           0.0098197
